st_uuid,st_name,緯度,經度,運作狀態,GPS主機電壓,電瓶電壓,抽水量,出水量
3f4a19ea-a8f6-4a4a-b1da-053a92d637d2,水-13,92d254fa-524a-40b3-bd32-fd967c9595ec,cfcb08ac-4469-4882-afd2-0afc5225c020,7ba9d09d-e472-44eb-8353-3a6d5a1ce303,6e10f6b2-411b-4314-8575-4ee1a5df7a50,2bec4c28-b3d1-42d2-a212-ded0ad8dc781,d897ff49-3846-4603-a574-f702789a797d,fdcf3264-f6f7-4b33-a418-2f5e680b82e3
3ece885c-76db-4d5e-a67c-c0c253ff5d55,水-14,09af078b-a521-467e-9bdc-aba5d1f20bf0,048fe2a1-7b70-4520-bfad-53a75bbe9ca7,c1ef80bd-03bb-4617-88b3-569f1d312548,803c7383-92ba-4eb7-af4c-8e757baa6b94,42a531d2-518a-46fe-9686-e38f5e337134,919f2ccc-ef54-4a22-ab2c-45e9109a1181,7a23efbf-06f0-47ad-a2fa-b8555d06fb74
6406bee8-a367-428b-ac7c-534272bac8ce,大崎一號抽水站,f169eb81-7cc7-472b-8cbf-f3ca377d4b6c,ce291cf5-9de7-4011-bec1-f78a3069a5fb,d60f9b00-ad94-4b4c-a1cd-f20824163315,22816bd9-1acf-4438-941e-a7824f8e082d,895acbe4-f1c2-4217-b5dc-20b6e6793ef4,9b4fb1ef-7a77-48c4-aa80-c46d5777415c,4a8c7556-3254-4457-b509-455b3b60171d
092eaf8c-2224-4fbe-afd5-f239ebc17ce4,大崎二號抽水站,42b0b0e3-fbee-4f8d-a6fa-813ee2c84d5b,b5428e68-af08-4a22-b860-a0e8e77955c0,04988f9c-52e7-4491-a538-d541f3ae7ad2,1a6924d5-d246-4ad5-8cac-b653268c13df,2e1f84ee-223b-4032-b753-c6f4668bda9b,8366b1e5-daab-44de-8edf-797490a5984a,e3a02bd9-cdbf-4ca7-96af-d1ceebd8c9e8
119c04c6-fc5a-4622-92f3-b4706cb035a2,四股抽水站2號機(Cat-M1),32b95d54-a341-4e50-aef3-96f9f9b99396,8928983b-9484-435e-a107-834da664c0b4,f798cbfe-97a3-472e-913c-de6eb1a2c27e,47b3e7a5-138b-4022-9596-92bf1c655a04,5f202dd4-60e2-4ac4-a4a9-b23f8dccaf33,1f7ba012-d0e5-4486-92f4-5904c808347f,73f7ee2f-b4b5-414a-81e0-d51bf0ae5816
0e18c05c-9d12-414c-bb5c-0dd040c897f2,四股抽水站1號機,58fadaaf-339a-4549-a1f6-9fa7f3a5ab91,eee7126d-2f90-47ec-8bcd-adbf7da6ffaf,65e2acc2-4dee-450e-aa9a-70facbed7f40,080443f5-d232-4b67-aa81-6c01ae66cecc,ea3ff14d-3358-4167-9bce-c69a6ff526b8,829c5292-6146-4d25-8518-0bd5661d04b0,0246ce34-bc3b-4832-b36b-97349f03ff14
df017fcf-a393-4d4f-8f14-a146416e2fa4,污水廠-3,6492a5b6-0858-4a62-8692-cc466415e9ee,25ba761c-8cd9-44d9-8b21-e7928445c2ba,2d484047-8449-4616-a2bd-f36c3ce12fa2,39f783ed-47f8-454a-b4f0-354b68b8e6a7,fb41f278-7108-4ae4-8e58-8d3308b3c1a5,cdfda74b-313c-413e-9007-a68cfe266778,0a7e81fa-72f6-484c-a0ce-37fb47e1041e
5e613b0c-5df6-4209-8654-c7d2e3aa0407,污水廠-2,673f129b-5f70-4cdf-9a1d-b5e8f6c8e74e,392fa3e1-60a0-482d-bf0b-63ac8a60604c,7e49e639-b2b8-46cf-a4be-919b9b131352,13bdc3b0-bff9-4010-97fd-93879557e751,37bf8543-91ef-4cc1-95f1-307e0fd95fad,03028f0b-7046-494d-b6c3-1bf4878a159b,fd9c269c-6364-4cc4-baaf-0b6a21a0525f
5cd19de4-13fb-4766-b66c-b676789f4e52,污水廠-4,e943aff9-0555-422d-8e09-4ad60e91badd,b0d20fac-18b9-49b6-a733-381af75e986e,d659bb6c-6f56-4a06-84a7-d7a384c01bcc,b710d27a-502d-4b16-82a8-313af41b76c3,ff3646b5-bec0-4855-bb52-e81d3babfaba,5933a1ad-e85c-4699-9a9a-aaf383575205,737db099-a176-4d51-b841-ab2115ec584e
9fbf0728-2a21-4623-9300-4da2c6d1176a,污水廠-1,1bf253e0-6ada-4900-b32e-e9913dcb8b22,95519035-3e2b-4716-851e-08bdae1450a7,3781f4c8-c47a-4b6c-a4e2-d0f06890c75c,4fade59c-c817-4697-a37c-39d4d67d2e97,d60222a3-1204-4a23-955c-37cc29ca3b4b,fbd800e6-d367-4fe3-bfcb-10e4f1d9f442,d3f67a70-a1c4-45df-9f3d-19077b29b6b4
